Algorithm;ScenarioName;RunIndex;MapWidth;MapHeight;ObstacleDensity;MapType;AllowDiagonal;Start;Goal;LinearDistance;WeightW;TimeLimitMs;MaxExpansions;TieBreakLowG;Found;PathCost;PathLength;Expansions;ElapsedMs;AllocBytes
WeightedAStar;0_100x100_dens0,10_corner_NoDiag;15;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;208.0;209;349;0;227936
Dijkstra;0_100x100_dens0,10_corner_NoDiag;16;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;198.0;199;8998;10;4799344
WeightedAStar;0_100x100_dens0,10_corner_NoDiag;16;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;206.0;207;241;0;201152
Dijkstra;0_100x100_dens0,10_corner_NoDiag;17;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;198.0;199;8998;7;4799344
WeightedAStar;0_100x100_dens0,10_corner_NoDiag;17;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;206.0;207;296;0;214792
Dijkstra;0_100x100_dens0,10_corner_NoDiag;18;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;198.0;199;8998;7;4799344
WeightedAStar;0_100x100_dens0,10_corner_NoDiag;18;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;206.0;207;292;0;213800
Dijkstra;0_100x100_dens0,10_corner_NoDiag;19;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;198.0;199;8998;6;4805512
WeightedAStar;0_100x100_dens0,10_corner_NoDiag;19;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;210.0;211;260;0;205864
Dijkstra;0_100x100_dens0,10_corner_NoDiag;20;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;198.0;199;8997;7;4799096
WeightedAStar;0_100x100_dens0,10_corner_NoDiag;20;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;204.0;205;273;0;209088
Dijkstra;0_100x100_dens0,10_corner_NoDiag;21;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;198.0;199;8999;6;4799592
WeightedAStar;0_100x100_dens0,10_corner_NoDiag;21;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;204.0;205;299;0;215536
Dijkstra;0_100x100_dens0,10_corner_NoDiag;22;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;198.0;199;8999;6;4805760
WeightedAStar;0_100x100_dens0,10_corner_NoDiag;22;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;202.0;203;205;0;179912
Dijkstra;0_100x100_dens0,10_corner_NoDiag;23;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;198.0;199;8999;8;4799592
WeightedAStar;0_100x100_dens0,10_corner_NoDiag;23;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;202.0;203;215;0;182392
Dijkstra;0_100x100_dens0,10_corner_NoDiag;24;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;198.0;199;8998;9;4799344
WeightedAStar;0_100x100_dens0,10_corner_NoDiag;24;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;208.0;209;237;0;187848
Dijkstra;0_100x100_dens0,10_corner_NoDiag;25;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;198.0;199;8999;8;4799592
WeightedAStar;0_100x100_dens0,10_corner_NoDiag;25;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;206.0;207;390;0;238104
Dijkstra;0_100x100_dens0,10_corner_NoDiag;26;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;198.0;199;8999;8;4799592
WeightedAStar;0_100x100_dens0,10_corner_NoDiag;26;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;204.0;205;230;0;186112
Dijkstra;0_100x100_dens0,10_corner_NoDiag;27;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;198.0;199;8999;6;4799592
WeightedAStar;0_100x100_dens0,10_corner_NoDiag;27;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;204.0;205;425;0;246784
Dijkstra;0_100x100_dens0,10_corner_NoDiag;28;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;198.0;199;8995;7;4798600
WeightedAStar;0_100x100_dens0,10_corner_NoDiag;28;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;206.0;207;256;0;204872
Dijkstra;0_100x100_dens0,10_corner_NoDiag;29;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;198.0;199;8999;7;4799592
WeightedAStar;0_100x100_dens0,10_corner_NoDiag;29;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;204.0;205;255;0;204624
Dijkstra;0_100x100_dens0,10_corner_NoDiag;30;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;198.0;199;8995;6;4798600
WeightedAStar;0_100x100_dens0,10_corner_NoDiag;30;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;206.0;207;229;0;198176
Dijkstra;0_100x100_dens0,10_corner_NoDiag;31;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;198.0;199;8997;7;4799096
WeightedAStar;0_100x100_dens0,10_corner_NoDiag;31;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;208.0;209;241;0;188840
Dijkstra;0_100x100_dens0,10_corner_NoDiag;32;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;198.0;199;8997;6;4799096
